Imagine: imagine5.jpg | Coordonate: [X:305, Y:100, Latime:264, Inaltime:745] | Precizie: 0.87
Imagine: imagine5.jpg | Coordonate: [X:855, Y:240, Latime:325, Inaltime:532] | Precizie: 0.86
Imagine: imagine5.jpg | Coordonate: [X:611, Y:56, Latime:294, Inaltime:789] | Precizie: 0.86
Imagine: imagine5.jpg | Coordonate: [X:205, Y:79, Latime:97, Inaltime:159] | Precizie: 0.73
Imagine: imagine5.jpg | Coordonate: [X:429, Y:57, Latime:179, Inaltime:708] | Precizie: 0.71
Imagine: imagine5.jpg | Coordonate: [X:255, Y:98, Latime:135, Inaltime:649] | Precizie: 0.69
Imagine: imagine5.jpg | Coordonate: [X:0, Y:227, Latime:70, Inaltime:344] | Precizie: 0.62
Imagine: imagine6.jpg | Coordonate: [X:223, Y:34, Latime:46, Inaltime:137] | Precizie: 0.90
Imagine: imagine6.jpg | Coordonate: [X:57, Y:71, Latime:31, Inaltime:74] | Precizie: 0.89
Imagine: imagine6.jpg | Coordonate: [X:108, Y:62, Latime:25, Inaltime:71] | Precizie: 0.81
Imagine: imagine6.jpg | Coordonate: [X:127, Y:61, Latime:23, Inaltime:66] | Precizie: 0.81
Imagine: imagine6.jpg | Coordonate: [X:86, Y:65, Latime:19, Inaltime:56] | Precizie: 0.68
Imagine: imagine6.jpg | Coordonate: [X:181, Y:63, Latime:17, Inaltime:54] | Precizie: 0.64
Imagine: imagine7.jpg | Coordonate: [X:344, Y:33, Latime:108, Inaltime:358] | Precizie: 0.93
Imagine: imagine7.jpg | Coordonate: [X:435, Y:7, Latime:119, Inaltime:383] | Precizie: 0.91
Imagine: imagine7.jpg | Coordonate: [X:45, Y:18, Latime:100, Inaltime:365] | Precizie: 0.90
Imagine: imagine7.jpg | Coordonate: [X:252, Y:42, Latime:94, Inaltime:351] | Precizie: 0.89
Imagine: imagine7.jpg | Coordonate: [X:145, Y:6, Latime:114, Inaltime:380] | Precizie: 0.87
Imagine: imagine8.jpg | Coordonate: [X:721, Y:207, Latime:216, Inaltime:597] | Precizie: 0.87
Imagine: imagine8.jpg | Coordonate: [X:464, Y:212, Latime:209, Inaltime:572] | Precizie: 0.87
Imagine: imagine8.jpg | Coordonate: [X:958, Y:147, Latime:182, Inaltime:646] | Precizie: 0.84
Imagine: imagine8.jpg | Coordonate: [X:1055, Y:247, Latime:228, Inaltime:656] | Precizie: 0.83
Imagine: imagine8.jpg | Coordonate: [X:307, Y:211, Latime:174, Inaltime:574] | Precizie: 0.81
Imagine: imagine8.jpg | Coordonate: [X:626, Y:165, Latime:115, Inaltime:487] | Precizie: 0.69
Imagine: imagine8.jpg | Coordonate: [X:269, Y:150, Latime:107, Inaltime:476] | Precizie: 0.68
Imagine: imagine8.jpg | Coordonate: [X:431, Y:143, Latime:119, Inaltime:268] | Precizie: 0.44
Imagine: imagine8.jpg | Coordonate: [X:872, Y:214, Latime:114, Inaltime:476] | Precizie: 0.43
Imagine: imagine8.jpg | Coordonate: [X:394, Y:154, Latime:74, Inaltime:105] | Precizie: 0.42
Imagine: imagine9.jpg | Coordonate: [X:155, Y:17, Latime:46, Inaltime:149] | Precizie: 0.89
Imagine: imagine9.jpg | Coordonate: [X:120, Y:31, Latime:38, Inaltime:131] | Precizie: 0.89
Imagine: imagine9.jpg | Coordonate: [X:68, Y:27, Latime:37, Inaltime:136] | Precizie: 0.89
Imagine: imagine9.jpg | Coordonate: [X:20, Y:29, Latime:43, Inaltime:134] | Precizie: 0.88
